en	nl
NOTE	NOTE
TIP	TIP
CAUTION	CAUTION
WARNING	WARNING
!NOTE	!NOTE
!TIP	!TIP
!CAUTION	!CAUTION
!WARNING	!WARNING
code_csharp	code_csharp
!include	!include
Online	Online
Onsite	Onsite
Onsite	onsite
On site	On site
On-site	On-site
on site	on site
on-site	on-site
SuperOffice	SuperOffice
CRM	CRM
Company	Bedrijf
**Company**	**Bedrijf**
Companies	Bedrijven
**Companies**	**Bedrijven**
Our contact	Onze contactpersoon
**Our contact**	**Onze contactpersoon**
Category	Categorie
**Category**	**Categorie**
Categories	Categorieën
**Categories**	**Categorieën**
Business	Branche
**Business**	**Branche**
Contact	Persoon
**Contact**	**Persoon**
Contacts	Personen
**Contacts**	**Personen**
Project	Project
**Project**	**Project**
Project Members	Projectleden
**Project Members**	**Projectleden**
Project type	Projecttype
**Project type**	**Projecttype**
Project guide	Projectgids
**Project guide**	**Projectgids**
Project members	Projectleden
**Project members**	**Projectleden**
Project member	Projectlid
**Project member**	**Projectlid**
Projects	Projecten
**Projects**	**Projecten**
Find Project	Project zoeken
**Find Project**	**Project zoeken**
Project Type	Projecttype
**Project Type**	**Projecttype**
Project guide	Projectgids
**Project guide**	**Projectgids**
Sale	Verkoop
**Sale**	**Verkoop**
Sales	Verkopen
**Sales**	**Verkopen**
Sale type	Verkooptype
**Sale type**	**Verkooptype**
SAINT	SAINT
**SAINT**	**SAINT**
Sales Intelligence (SAINT)	Sales Intelligence (SAINT)
**Sales Intelligence (SAINT)**	**Sales Intelligence (SAINT)**
Saint	SAINT
**Saint**	**SAINT**
Status monitor	Statuscontrole
**Status monitor**	**Statuscontrole**
Status Monitors	Statuscontroles
**Status Monitors**	**Statuscontroles**
Status monitors	Statuscontroles
**Status monitors**	**Statuscontroles**
Counters	Tellers
**Counters**	**Tellers**
Counter	Teller
**Counter**	**Teller**
Associate	Medewerker
**Associate**	**Medewerker**
User groups	Gebruikersgroepen
**User groups**	**Gebruikersgroepen**
User group	Gebruikersgroep
**User group**	**Gebruikersgroep**
Roles	Rollen
**Roles**	**Rollen**
Role	Rol
**Role**	**Rol**
Associates	Medewerkers
**Associates**	**Medewerkers**
Other associates	Andere medewerkers
**Other associates**	**Andere medewerkers**
Document template	Documentsjabloon
**Document template**	**Documentsjabloon**
Chat	Chat
**Chat**	**Chat**
Chats	Chats
**Chats**	**Chats**
Chat channel	Chatkanaal
**Chat channel**	**Chatkanaal**
Chat channels	Chatkanalen
**Chat channels**	**Chatkanalen**
Chat conversation	Chatgesprek
**Chat conversation**	**Chatgesprek**
Chat conversations	Chatgesprekken
**Chat conversations**	**Chatgesprekken**
Reply templates	Antwoordsjablonen
**Reply templates**	**Antwoordsjablonen**
Reply template	Antwoordsjabloon
**Reply template**	**Antwoordsjabloon**
Customer centre	Klantportaal
**Customer centre**	**Klantportaal**
Customer Centre	Klantportaal
**Customer Centre**	**Klantportaal**
Customer	Klant
**Customer**	**Klant**
Customers	Klanten
**Customers**	**Klanten**
Request	Verzoek
**Request**	**Verzoek**
Requests	Verzoeken
**Requests**	**Verzoeken**
Find Request	Verzoek zoeken
**Find Request**	**Verzoek zoeken**
Selection	Selectie
**Selection**	**Selectie**
Find Selection	Selectie zoeken
**Find Selection**	**Selectie zoeken**
Selections	Selecties
**Selections**	**Selecties**
Configure sort order	Sorteervolgorde configureren
**Configure sort order**	**Sorteervolgorde configureren**
Configure columns	Kolommen configureren
**Configure columns**	**Kolommen configureren**
Open contact	Persoon openen
**Open contact**	**Persoon openen**
