en	de
NOTE	NOTE
TIP	TIP
CAUTION	CAUTION
WARNING	WARNING
!NOTE	!NOTE
!TIP	!TIP
!CAUTION	!CAUTION
!WARNING	!WARNING
code_csharp	code_csharp
!include	!include
Online	Online
Onsite	Onsite
Onsite	onsite
On site	On site
On-site	On-site
on site	on site
on-site	on-site
SuperOffice	SuperOffice
CRM	CRM
Company	Firma
**Company**	**Firma**
Companies	Firmen
**Companies**	**Firmen**
Our contact	Verantwortlich
**Our contact**	**Verantwortlich**
Category	Kategorie
**Category**	**Kategorie**
Categories	Kategorien
**Categories**	**Kategorien**
Business	Branche
**Business**	**Branche**
Contact	Person
**Contact**	**Person**
Contacts	Personen
**Contacts**	**Personen**
Project	Projekt
**Project**	**Projekt**
Project Members	Projektmitglieder
**Project Members**	**Projektmitglieder**
Project type	Projekttyp
**Project type**	**Projekttyp**
Project guide	Projektleitfaden
**Project guide**	**Projektleitfaden**
Project members	Projektmitglieder
**Project members**	**Projektmitglieder**
Project member	Projektmitglied
**Project member**	**Projektmitglied**
Projects	Projekte
**Projects**	**Projekte**
Find Project	Projekt suchen
**Find Project**	**Projekt suchen**
Project Type	Projektart
**Project Type**	**Projektart**
Project guide	Projektleitfaden
**Project guide**	**Projektleitfaden**
Sale	Verkauf
**Sale**	**Verkauf**
Sales	Verkäufe
**Sales**	**Verkäufe**
Sale type	Verkaufstyp
**Sale type**	**Verkaufstyp**
SAINT	SAINT
**SAINT**	**SAINT**
Sales Intelligence (SAINT)	Sales Intelligence (SAINT)
**Sales Intelligence (SAINT)**	**Sales Intelligence (SAINT)**
Saint	Saint
**Saint**	**Saint**
Status monitor	Statuskontrolle
**Status monitor**	**Statuskontrolle**
Status Monitors	Statuskontrollen
**Status Monitors**	**Statuskontrollen**
Status monitors	Statuskontrollen
**Status monitors**	**Statuskontrollen**
Counters	Zähler
**Counters**	**Zähler**
Counter	Zähler
**Counter**	**Zähler**
Associate	Mitarbeiter
**Associate**	**Mitarbeiter**
User groups	Benutzergruppen
**User groups**	**Benutzergruppen**
User group	Benutzergruppe
**User group**	**Benutzergruppe**
Roles	Rollen
**Roles**	**Rollen**
Role	Rolle
**Role**	**Rolle**
Associates	Mitarbeiter
**Associates**	**Mitarbeiter**
Other associates	Weitere Mitarbeiter
**Other associates**	**Weitere Mitarbeiter**
Document template	Dokumentvorlage
**Document template**	**Dokumentvorlage**
Chat	Chat
**Chat**	**Chat**
Chats	Chats
**Chats**	**Chats**
Chat channel	Chat-Kanal
**Chat channel**	**Chat-Kanal**
Chat channels	Chat-Kanäle
**Chat channels**	**Chat-Kanäle**
Chat conversation	Chat-Gespräch
**Chat conversation**	**Chat-Gespräch**
Chat conversations	Chat-Gespräche
**Chat conversations**	**Chat-Gespräche**
Reply templates	Antwortvorlagen
**Reply templates**	**Antwortvorlagen**
Reply template	Antwortvorlage
**Reply template**	**Antwortvorlage**
Customer centre	Kundenzentrum
**Customer centre**	**Kundenzentrum**
Customer Centre	Kundenzentrum
**Customer Centre**	**Kundenzentrum**
Customer	Kunde
**Customer**	**Kunde**
Customers	Kunden
**Customers**	**Kunden**
Request	Anfrage
**Request**	**Anfrage**
Requests	Anfragen
**Requests**	**Anfragen**
Find Request	Anfrage suchen
**Find Request**	**Anfrage suchen**
Selection	Selektion
**Selection**	**Selektion**
Find Selection	Selektion suchen
**Find Selection**	**Selektion suchen**
Selections	Selektionen
**Selections**	**Selektionen**
Configure sort order	Sortierreihenfolge konfigurieren
**Configure sort order**	**Sortierreihenfolge konfigurieren**
