en	da
NOTE	NOTE
TIP	TIP
CAUTION	CAUTION
WARNING	WARNING
!NOTE	!NOTE
!TIP	!TIP
!CAUTION	!CAUTION
!WARNING	!WARNING
code_csharp	code_csharp
!include	!include
Online	Online
Onsite	Onsite
Onsite	onsite
On site	On site
On-site	On-site
on site	on site
on-site	on-site
SuperOffice	SuperOffice
CRM	CRM
Company	Firma
**Company**	**Firma**
Companies	Firmaer
**Companies**	**Firmaer**
Our contact	Vores kontakt
**Our contact**	**Vores kontakt**
Category	Kategori
**Category**	**Kategori**
Categories	Kategorier
**Categories**	**Kategorier**
Business	Branche
**Business**	**Branche**
Contact	Person
**Contact**	**Person**
Contacts	Personer
**Contacts**	**Personer**
Project	Projekt
**Project**	**Projekt**
Project Members	Projektdeltagere
**Project Members**	**Projektdeltagere**
Project type	Projekttype
**Project type**	**Projekttype**
Project guide	Projektguide
**Project guide**	**Projektguide**
Project members	Projektdeltagere
**Project members**	**Projektdeltagere**
Project member	Projektdeltager
**Project member**	**Projektdeltager**
Projects	Projekter
**Projects**	**Projekter**
Find Project	Find projekt
**Find Project**	**Find projekt**
Project Type	Projekttype
**Project Type**	**Projekttype**
Project guide	Projektguide
**Project guide**	**Projektguide**
Sale	Salg
**Sale**	**Salg**
Sales	Salg
**Sales**	**Salg**
Sale type	Salgstype
**Sale type**	**Salgstype**
SAINT	SAINT
**SAINT**	**SAINT**
Sales Intelligence (SAINT)	Sales Intelligence (SAINT)
**Sales Intelligence (SAINT)**	**Sales Intelligence (SAINT)**
Saint	Saint
**Saint**	**Saint**
Status monitor	Statusovervågning
**Status monitor**	**Statusovervågning**
Status Monitors	Statusovervågning
**Status Monitors**	**Statusovervågning**
Status monitors	Statusovervågning
**Status monitors**	**Statusovervågning**
Counters	Tællere
**Counters**	**Tællere**
Counter	Tæller
**Counter**	**Tæller**
Associate	Medarbejder
**Associate**	**Medarbejder**
User groups	Brugergrupper
**User groups**	**Brugergrupper**
User group	Brugergruppe
**User group**	**Brugergruppe**
Roles	Roller
**Roles**	**Roller**
Role	Rolle
**Role**	**Rolle**
Associates	Medarbejdere
**Associates**	**Medarbejdere**
Other associates	Andre medarbejdere
**Other associates**	**Andre medarbejdere**
Document template	Dokumentskabelon
**Document template**	**Dokumentskabelon**
Chat	Lynmeddelelse
**Chat**	**Lynmeddelelse**
Chats	Chat-samtaler
**Chats**	**Chat-samtaler**
Chat channel	Chatkanal
**Chat channel**	**Chatkanal**
Chat channels	Chatkanaler
**Chat channels**	**Chatkanaler**
Chat conversation	Chatsamtale
**Chat conversation**	**Chatsamtale**
Chat conversations	Chatsamtaler
**Chat conversations**	**Chatsamtaler**
Reply templates	Svarskabeloner
**Reply templates**	**Svarskabeloner**
Reply template	Svarskabelon
**Reply template**	**Svarskabelon**
Customer centre	Kundecenter
**Customer centre**	**Kundecenter**
Customer Centre	Kundecenter
**Customer Centre**	**Kundecenter**
Customer	Kunde
**Customer**	**Kunde**
Customers	Kunder
**Customers**	**Kunder**
Request	Sag
**Request**	**Sag**
Requests	Sager
**Requests**	**Sager**
Find Request	Find sag
**Find Request**	**Find sag**
Selection	Udvalg
**Selection**	**Udvalg**
Find Selection	Find udvalg
**Find Selection**	**Find udvalg**
Selections	Udvalg
**Selections**	**Udvalg**
Configure sort order	Konfigurer sortering
**Configure sort order**	**Konfigurer sortering**
Configure columns	Konfigurer kolonner
**Configure columns**	**Konfigurer kolonner**
Open contact	Åbn person
**Open contact**	**Åbn person**
Contact support	Kontakt support
**Contact support**	**Kontakt support**
